trade_date,stock,K,D,J,KDJ_label
20191213,600195.SH,27.87792037113662,27.111818808218647,29.410123496972567,金叉30
20191213,600201.SH,31.171913580816653,28.10126185291189,37.313217036626185,金叉40
20191213,600219.SH,70.22436655558658,60.75198185991824,89.16913594692328,金叉50+
20191213,600236.SH,66.80229167210477,63.581463305256044,73.24394840580221,金叉50+
20191213,600252.SH,46.30799571481635,44.14268006510222,50.63862701424462,金叉50+
20191213,600258.SH,49.9293566713901,42.83262978595417,64.12281044226197,金叉50+
20191213,600269.SH,70.83218474260849,65.04474637792315,82.40706147197918,金叉50+
20191213,600283.SH,28.172267026059654,25.311918987009317,33.89296310416032,金叉40
20191213,600284.SH,61.95565769430264,58.77485882394654,68.31725543501484,金叉50+
20191213,600287.SH,81.84922593743683,78.98009397109297,87.58748987012456,金叉50+
20191213,600291.SH,60.160733984995396,56.76022504318146,66.96175186862327,金叉50+
20191213,600305.SH,63.655685786641165,55.17249668383559,80.62206399225232,金叉50+
20191213,600308.SH,49.104235099529284,43.62669313268639,60.05931903321506,金叉50+
20191213,600318.SH,46.27910351942027,46.15155069398852,46.53420917028377,金叉50
20191213,600322.SH,47.67234807968972,38.3242626407449,66.36851895757935,金叉50+
20191213,600323.SH,48.34811609334374,36.770535903183166,71.50327647366488,金叉50+
20191213,600329.SH,42.303155976424456,40.305649426436986,46.298169076399404,金叉50
20191213,600335.SH,73.23416536588574,71.2795833435272,77.14332941060283,金叉50+
20191213,600346.SH,55.87981581021656,51.97925600768851,63.68093541527266,金叉50+
20191213,600348.SH,58.37737794044826,52.02267100855315,71.08679180423849,金叉50+
20191213,600362.SH,77.13013826329006,77.06118898395808,77.26803682195404,金叉50+
20191213,600368.SH,64.62424534705086,63.54452296947929,66.78369010219399,金叉50+
20191213,600369.SH,74.71278727451015,72.71573041293333,78.70690099766378,金叉50+
20191213,600370.SH,47.357809962061374,44.34383570928532,53.385758467613485,金叉50+
20191213,600388.SH,52.99150922508915,48.82786516673104,61.31879734180539,金叉50+
20191213,600390.SH,48.590547144196336,44.68062592116379,56.41038959026143,金叉50+
20191213,600393.SH,41.6248951181304,40.74067356922198,43.393338215947225,金叉50
20191213,600403.SH,35.224006144407866,34.48889471250971,36.694229008204175,金叉40
20191213,600406.SH,12.361021853293545,13.85994265931946,9.363180241241718,
20191213,600408.SH,55.620905821824614,52.614538278651075,61.6336409081717,金叉50+
20191213,600420.SH,51.76063898585331,45.3445507581177,64.59281544132453,金叉50+
20191213,600433.SH,72.27847903986058,69.99306081312407,76.84931549333359,金叉50+
20191213,600452.SH,30.30771912227618,25.779224827600633,39.36470771162727,金叉40
20191213,600462.SH,43.70584544200315,36.346468235057976,58.424599855893504,金叉50+
20191213,600475.SH,73.47258479001138,72.65915337664008,75.09944761675399,金叉50+
20191213,600479.SH,54.16976552401485,53.64272136288319,55.223853846278175,金叉50+
20191213,600480.SH,59.012674569624174,58.15282340106889,60.73237690673473,金叉50+
20191213,600483.SH,55.51640403686935,50.008947081717,66.53131794717407,金叉50+
