trade_date,stock,K,D,J,KDJ_label
20191220,002780.SZ,25.885736562725356,18.133965536503712,41.38927861516864,金叉50
20191220,002822.SZ,64.69432106967461,63.557364508766625,66.96823419149058,金叉50+
20191220,002841.SZ,76.61800045427692,72.29025377194755,85.27349381893569,金叉50+
20191220,002868.SZ,56.3243043759756,53.81881335724925,61.33528641342831,金叉50+
20191220,002907.SZ,45.39535383642004,45.325693150427014,45.5346752084061,金叉50
20190425,300104.SZ,6.137552503768241,11.259373999558022,-4.106090487811322,
20191220,300119.SZ,70.08537353149364,65.07317696855141,80.10976665737812,金叉50+
20191220,300121.SZ,88.1486406290876,87.63700172468243,89.17191843789792,金叉50+
20191220,300200.SZ,82.70276080822542,82.11040087229817,83.8874806800799,金叉50+
20191220,300405.SZ,48.43947044525624,38.98119543926506,67.35602045723861,金叉50+
20191220,300411.SZ,52.509350415965876,47.1513710184336,63.22530921103042,金叉50+
20191220,300458.SZ,87.55034255176376,85.09276584351176,92.46549596826776,金叉50+
20191220,300492.SZ,10.305017235877381,11.611314358005458,7.692422991621228,
20191220,300576.SZ,82.9663004387504,81.38413526330031,86.13063078965055,金叉50+
20191220,300629.SZ,69.36169970342752,60.491425389744315,87.10224833079393,金叉50+
20191220,300667.SZ,81.24211111384206,78.17931971971977,87.36769390208664,金叉50+
20191220,300707.SZ,78.58161554673008,73.0003526419694,89.74414135625145,金叉50+
20191220,300718.SZ,74.93001845806661,73.1574187992158,78.47521777576821,金叉50+
20191220,600006.SH,70.77770913669421,65.38598821169467,81.56115098669329,金叉50+
20190425,600074.SH,12.3061924392589,14.32138625713093,8.275804803514841,
20191220,600128.SH,65.27689880228803,62.02290290994117,71.78489058698175,金叉50+
20191220,600240.SH,2.163356269255027,8.191707636852021,-9.893346465938961,
20191220,600265.SH,27.57284247851179,25.71218758477862,31.29415226597814,金叉40
20191220,600376.SH,80.68767673678677,77.64323697165037,86.77655626705956,金叉50+
20191220,600399.SH,72.42452444874051,71.48486635970966,74.30384062680224,金叉50+
20191220,600628.SH,10.960460997471166,16.703543613316324,-0.5257042342191482,
20191220,600754.SH,81.24310243048188,79.19922963576116,85.33084801992334,金叉50+
20191220,600779.SH,13.694849158877267,18.84833211349997,3.387883249631855,
20191219,600815.SH,27.147922621025128,22.169899583560323,37.103968695954734,金叉40
20191220,600844.SH,73.84108971807812,70.24932834480505,81.02461246462425,金叉50+
20191220,600863.SH,69.55004561657718,68.74776328049371,71.15461028874412,金叉50+
20191220,600872.SH,19.864510301756653,19.357556094744215,20.878418715781528,金叉30
20191220,600884.SH,78.05545440548413,77.46025292818503,79.24585736008234,金叉50+
20191220,601555.SH,73.85404525895154,72.75280881532088,76.05651814621288,金叉50+
20191220,601886.SH,13.003389222466234,17.233656656766453,4.542854353865799,
20191220,603069.SH,57.32740118652947,55.004991498189874,61.972220563208666,金叉50+
20191220,603222.SH,42.57652454060065,39.05043398997534,49.62870564185128,金叉50
20191220,603316.SH,7.315682706743377,17.8282695690374,-13.709491017844666,
20191220,603348.SH,49.181843356635675,42.166473321625325,63.212583426656366,金叉50+
20191220,603611.SH,50.99079067763811,39.43291316807443,74.10654569676548,金叉50+
20191220,603855.SH,73.01122231702894,71.04069406518634,76.95227882071413,金叉50+
20191220,603990.SH,56.31250562622332,52.371427313875195,64.19466225091956,金叉50+
