stock,5,10,15,20
002149.SZ,002169.SZ,300303.SZ,300062.SZ,300443.SZ
002150.SZ,002394.SZ,600865.SH,000038.SZ,000038.SZ
002151.SZ,002151.SZ,002151.SZ,002151.SZ,002151.SZ
002152.SZ,600879.SH,002770.SZ,002619.SZ,002619.SZ
002153.SZ,002410.SZ,002410.SZ,002410.SZ,603288.SH
002154.SZ,600680.SH,600680.SH,600680.SH,600680.SH
002155.SZ,600489.SH,600489.SH,600610.SH,600610.SH
002156.SZ,002156.SZ,002156.SZ,002156.SZ,002156.SZ
002157.SZ,000876.SZ,002299.SZ,600776.SH,600776.SH
002158.SZ,000856.SZ,000856.SZ,600550.SH,600550.SH
002159.SZ,002159.SZ,002159.SZ,002159.SZ,002159.SZ
002160.SZ,000038.SZ,000038.SZ,300343.SZ,300343.SZ
002161.SZ,002263.SZ,002263.SZ,002263.SZ,002263.SZ
002162.SZ,002162.SZ,002162.SZ,002162.SZ,002162.SZ
002163.SZ,002070.SZ,600610.SH,600321.SH,002786.SZ
002164.SZ,603556.SH,603556.SH,000625.SZ,000625.SZ
002165.SZ,002165.SZ,002165.SZ,002165.SZ,002165.SZ
002166.SZ,603998.SH,002505.SZ,002505.SZ,000156.SZ
002167.SZ,002263.SZ,002263.SZ,002263.SZ,002263.SZ
002168.SZ,600401.SH,600401.SH,600680.SH,600680.SH
002169.SZ,300063.SZ,300062.SZ,300063.SZ,002606.SZ
002170.SZ,000901.SZ,000812.SZ,600820.SH,600820.SH
002171.SZ,002787.SZ,002619.SZ,002619.SZ,002606.SZ
002172.SZ,000564.SZ,000564.SZ,000564.SZ,002076.SZ
002173.SZ,002739.SZ,002739.SZ,000038.SZ,000038.SZ
002174.SZ,601689.SH,600684.SH,002739.SZ,002739.SZ
002175.SZ,600396.SH,600401.SH,600401.SH,600401.SH
002176.SZ,300510.SZ,300510.SZ,002252.SZ,002252.SZ
002177.SZ,000720.SZ,600831.SH,600680.SH,600680.SH
002178.SZ,002512.SZ,002739.SZ,002739.SZ,002739.SZ
002179.SZ,000681.SZ,603866.SH,603866.SH,000681.SZ
002180.SZ,300423.SZ,300423.SZ,300423.SZ,300423.SZ
002181.SZ,002070.SZ,002070.SZ,002070.SZ,600680.SH
002182.SZ,300303.SZ,002473.SZ,002606.SZ,002606.SZ
002183.SZ,600084.SH,600084.SH,600084.SH,000038.SZ
002184.SZ,600257.SH,600257.SH,600257.SH,600257.SH
002185.SZ,600666.SH,600666.SH,600666.SH,600666.SH
002186.SZ,601368.SH,002684.SZ,002684.SZ,000564.SZ
002187.SZ,002344.SZ,002344.SZ,000812.SZ,000812.SZ
002188.SZ,600074.SH,600074.SH,600074.SH,600074.SH
002189.SZ,603000.SH,600680.SH,600680.SH,600680.SH
002190.SZ,000812.SZ,000812.SZ,000812.SZ,000812.SZ
002191.SZ,300033.SZ,603000.SH,603000.SH,603000.SH
002192.SZ,600388.SH,600388.SH,000807.SZ,000807.SZ
002193.SZ,002252.SZ,002252.SZ,002252.SZ,002252.SZ
002194.SZ,600975.SH,600975.SH,300033.SZ,002124.SZ
002195.SZ,002143.SZ,002175.SZ,002175.SZ,002175.SZ
002196.SZ,002619.SZ,002619.SZ,600666.SH,600666.SH
002197.SZ,000838.SZ,002283.SZ,600097.SH,600097.SH
002198.SZ,002663.SZ,600035.SH,600035.SH,000415.SZ
002199.SZ,300118.SZ,600610.SH,000783.SZ,601555.SH
002200.SZ,600666.SH,600666.SH,600666.SH,600666.SH
000001.SZ,600745.SH,600745.SH,600745.SH,000063.SZ
000002.SZ,601933.SH,601933.SH,000063.SZ,000063.SZ
000004.SZ,002130.SZ,002130.SZ,603588.SH,300303.SZ
000005.SZ,002344.SZ,002344.SZ,000812.SZ,000812.SZ
000006.SZ,603011.SH,000793.SZ,300038.SZ,300038.SZ
000007.SZ,002719.SZ,002719.SZ,300197.SZ,300197.SZ
000008.SZ,300090.SZ,600666.SH,600666.SH,300090.SZ
000009.SZ,600653.SH,600157.SH,600157.SH,600157.SH
000010.SZ,600084.SH,600084.SH,600084.SH,600084.SH
000011.SZ,002072.SZ,600477.SH,600477.SH,600477.SH
000012.SZ,002502.SZ,600666.SH,600666.SH,002790.SZ
000014.SZ,000564.SZ,002739.SZ,002219.SZ,002739.SZ
000016.SZ,002230.SZ,002230.SZ,002230.SZ,002230.SZ
000017.SZ,002785.SZ,002539.SZ,002785.SZ,002606.SZ
000018.SZ,002502.SZ,002220.SZ,002502.SZ,002502.SZ
000019.SZ,600318.SH,600318.SH,000038.SZ,000038.SZ
000020.SZ,002739.SZ,002739.SZ,002739.SZ,002739.SZ
000021.SZ,300328.SZ,300328.SZ,300328.SZ,300328.SZ
000023.SZ,000812.SZ,000812.SZ,000812.SZ,000812.SZ
000025.SZ,600652.SH,600652.SH,600652.SH,000806.SZ
000026.SZ,300173.SZ,000812.SZ,000812.SZ,000812.SZ
000027.SZ,600109.SH,600109.SH,601928.SH,601928.SH
000028.SZ,300156.SZ,300156.SZ,300156.SZ,300156.SZ
000029.SZ,000029.SZ,000029.SZ,000029.SZ,000029.SZ
000030.SZ,000566.SZ,000793.SZ,000793.SZ,600682.SH
000031.SZ,300118.SZ,300118.SZ,300118.SZ,300118.SZ
000032.SZ,600610.SH,600610.SH,600610.SH,600469.SH
000034.SZ,002070.SZ,002070.SZ,600401.SH,600401.SH
000035.SZ,600610.SH,600610.SH,002604.SZ,300216.SZ
000036.SZ,600133.SH,600133.SH,600133.SH,601985.SH
000037.SZ,002323.SZ,002323.SZ,002323.SZ,002323.SZ
000038.SZ,000939.SZ,000939.SZ,000939.SZ,000939.SZ
000039.SZ,601222.SH,300064.SZ,300102.SZ,601222.SH
000040.SZ,600086.SH,600086.SH,002739.SZ,002739.SZ
000042.SZ,000042.SZ,000042.SZ,000042.SZ,000042.SZ
000043.SZ,600882.SH,600882.SH,600882.SH,600882.SH
000045.SZ,300163.SZ,600610.SH,600610.SH,600610.SH
000046.SZ,002610.SZ,002610.SZ,002610.SZ,600610.SH
000048.SZ,000048.SZ,000048.SZ,000048.SZ,000048.SZ
000049.SZ,300115.SZ,000816.SZ,000816.SZ,600074.SH
000050.SZ,000050.SZ,000050.SZ,000050.SZ,000050.SZ
000055.SZ,600666.SH,600666.SH,002580.SZ,002580.SZ
000056.SZ,002252.SZ,002739.SZ,002739.SZ,002739.SZ
000058.SZ,002070.SZ,002070.SZ,600680.SH,600680.SH
000059.SZ,000510.SZ,000838.SZ,000838.SZ,300071.SZ
000060.SZ,300032.SZ,600666.SH,300032.SZ,600666.SH
000061.SZ,600838.SH,000812.SZ,000812.SZ,000812.SZ
000062.SZ,002098.SZ,002098.SZ,002005.SZ,002005.SZ
000063.SZ,601012.SH,601012.SH,601012.SH,000001.SZ
000065.SZ,002375.SZ,000812.SZ,000812.SZ,000812.SZ
000066.SZ,000037.SZ,000037.SZ,002123.SZ,002123.SZ
000068.SZ,002070.SZ,002070.SZ,002070.SZ,002070.SZ
000069.SZ,601919.SH,601919.SH,002555.SZ,002555.SZ
000070.SZ,002473.SZ,300352.SZ,300379.SZ,600680.SH
000078.SZ,600221.SH,600221.SH,600221.SH,600221.SH
000088.SZ,600550.SH,002542.SZ,600633.SH,600633.SH
000089.SZ,600612.SH,603160.SH,603160.SH,600547.SH
000090.SZ,601985.SH,601985.SH,601985.SH,601985.SH
000096.SZ,000564.SZ,000564.SZ,000564.SZ,000564.SZ
000099.SZ,600610.SH,600610.SH,600610.SH,600610.SH
000100.SZ,002212.SZ,002212.SZ,600999.SH,600999.SH
000150.SZ,002005.SZ,002005.SZ,002252.SZ,002252.SZ
000151.SZ,600226.SH,002739.SZ,002739.SZ,002739.SZ
000153.SZ,002103.SZ,002103.SZ,000564.SZ,000816.SZ
000155.SZ,000155.SZ,000155.SZ,000155.SZ,000155.SZ
000156.SZ,600610.SH,600610.SH,002367.SZ,002367.SZ
000157.SZ,300220.SZ,300220.SZ,600975.SH,600975.SH
000158.SZ,300291.SZ,603958.SH,603958.SH,603958.SH
000159.SZ,002750.SZ,002750.SZ,600680.SH,600680.SH
000166.SZ,000166.SZ,000166.SZ,000166.SZ,000166.SZ
000301.SZ,300124.SZ,600740.SH,002258.SZ,300308.SZ
000333.SZ,601933.SH,601933.SH,601933.SH,601933.SH
000338.SZ,002567.SZ,002567.SZ,002567.SZ,300012.SZ
000400.SZ,002739.SZ,002739.SZ,002739.SZ,002739.SZ
000401.SZ,600556.SH,600556.SH,002567.SZ,600897.SH
000402.SZ,601880.SH,601880.SH,603011.SH,300038.SZ
000403.SZ,300558.SZ,300558.SZ,300558.SZ,002418.SZ
000404.SZ,002344.SZ,600666.SH,600666.SH,600666.SH
000407.SZ,300156.SZ,002739.SZ,002739.SZ,600666.SH
000408.SZ,300467.SZ,600515.SH,600515.SH,600515.SH
000409.SZ,002473.SZ,002473.SZ,002473.SZ,002473.SZ
000410.SZ,300089.SZ,002098.SZ,300109.SZ,300109.SZ
000411.SZ,000411.SZ,000411.SZ,000411.SZ,000411.SZ
000413.SZ,600221.SH,300032.SZ,300032.SZ,300032.SZ
000415.SZ,600157.SH,600157.SH,300336.SZ,000400.SZ
000416.SZ,600605.SH,600605.SH,600605.SH,002272.SZ
000417.SZ,600221.SH,600221.SH,600221.SH,300032.SZ
000418.SZ,600690.SH,000333.SZ,601933.SH,601933.SH
000419.SZ,000564.SZ,000564.SZ,000564.SZ,601801.SH
000420.SZ,000156.SZ,000156.SZ,600610.SH,600610.SH
000421.SZ,000812.SZ,000812.SZ,000812.SZ,000038.SZ
000422.SZ,002473.SZ,002473.SZ,002473.SZ,002473.SZ
000423.SZ,000910.SZ,600086.SH,600086.SH,002501.SZ
000425.SZ,000858.SZ,000858.SZ,600323.SH,600323.SH
000426.SZ,000488.SZ,002072.SZ,002072.SZ,002072.SZ
000428.SZ,000573.SZ,000573.SZ,002606.SZ,002606.SZ
000429.SZ,600548.SH,000401.SZ,603338.SH,000856.SZ
000430.SZ,300291.SZ,000564.SZ,000564.SZ,000564.SZ
000488.SZ,002739.SZ,002739.SZ,002739.SZ,002739.SZ
000498.SZ,000719.SZ,000719.SZ,000400.SZ,000400.SZ
000501.SZ,300291.SZ,600666.SH,600666.SH,600666.SH
000502.SZ,600680.SH,600680.SH,600680.SH,002606.SZ
000503.SZ,300510.SZ,002251.SZ,002251.SZ,002251.SZ
000504.SZ,000488.SZ,002485.SZ,002485.SZ,002310.SZ
000505.SZ,002122.SZ,002604.SZ,000415.SZ,600666.SH
000506.SZ,300004.SZ,300004.SZ,600074.SH,600074.SH
000507.SZ,601607.SH,600874.SH,600874.SH,600874.SH
000509.SZ,600318.SH,600318.SH,002619.SZ,002619.SZ
000510.SZ,000838.SZ,300278.SZ,300278.SZ,000838.SZ
000513.SZ,002739.SZ,002739.SZ,002739.SZ,002739.SZ
000514.SZ,000428.SZ,600664.SH,603268.SH,603268.SH
000516.SZ,000516.SZ,000516.SZ,000516.SZ,000516.SZ
000517.SZ,600829.SH,600829.SH,600829.SH,000564.SZ
000518.SZ,600221.SH,300032.SZ,300032.SZ,300032.SZ
000519.SZ,600178.SH,600666.SH,600666.SH,000509.SZ
000520.SZ,000520.SZ,000520.SZ,000520.SZ,000520.SZ
000521.SZ,601199.SH,600610.SH,600610.SH,000812.SZ
000523.SZ,600829.SH,600261.SH,002283.SZ,600610.SH
000524.SZ,002284.SZ,002283.SZ,000812.SZ,000812.SZ
