stock,5,10,15,20
002417.SZ,002739.SZ,002527.SZ,002527.SZ,300071.SZ
002418.SZ,300180.SZ,000793.SZ,002716.SZ,002122.SZ
002419.SZ,300198.SZ,600290.SH,600290.SH,600466.SH
002420.SZ,000038.SZ,000038.SZ,002619.SZ,002619.SZ
002421.SZ,002413.SZ,002122.SZ,300278.SZ,600634.SH
002422.SZ,603939.SH,603939.SH,603939.SH,601100.SH
002423.SZ,002070.SZ,002070.SZ,002070.SZ,002070.SZ
002424.SZ,300392.SZ,300392.SZ,600959.SH,600959.SH
002425.SZ,600318.SH,002606.SZ,002606.SZ,002606.SZ
002426.SZ,600816.SH,000008.SZ,000008.SZ,002558.SZ
002427.SZ,000540.SZ,000540.SZ,000540.SZ,600515.SH
002428.SZ,002716.SZ,002716.SZ,002122.SZ,002122.SZ
002429.SZ,002649.SZ,300063.SZ,002606.SZ,002606.SZ
002430.SZ,600298.SH,000786.SZ,000786.SZ,000786.SZ
002431.SZ,600054.SH,000820.SZ,000820.SZ,000820.SZ
002432.SZ,300173.SZ,300173.SZ,000038.SZ,000038.SZ
002433.SZ,600221.SH,600986.SH,603116.SH,002219.SZ
002434.SZ,600226.SH,002739.SZ,002739.SZ,002739.SZ
002435.SZ,300090.SZ,300090.SZ,300032.SZ,300032.SZ
002436.SZ,600610.SH,600610.SH,600610.SH,600610.SH
002437.SZ,600252.SH,600252.SH,603601.SH,603601.SH
002438.SZ,002169.SZ,300352.SZ,002473.SZ,002606.SZ
002439.SZ,600438.SH,600438.SH,600438.SH,600438.SH
002440.SZ,002440.SZ,002440.SZ,002440.SZ,002440.SZ
002441.SZ,300040.SZ,600157.SH,600157.SH,600157.SH
002442.SZ,002147.SZ,600240.SH,600240.SH,600240.SH
002443.SZ,600685.SH,000156.SZ,300118.SZ,300118.SZ
002444.SZ,000973.SZ,000973.SZ,002326.SZ,600157.SH
002445.SZ,300411.SZ,300411.SZ,300032.SZ,300032.SZ
002446.SZ,002473.SZ,002473.SZ,002473.SZ,002473.SZ
002447.SZ,600666.SH,600666.SH,002694.SZ,002694.SZ
002448.SZ,600227.SH,002219.SZ,002219.SZ,002219.SZ
002449.SZ,002812.SZ,002812.SZ,002812.SZ,600133.SH
002450.SZ,002485.SZ,002485.SZ,002485.SZ,002739.SZ
002451.SZ,002080.SZ,002080.SZ,002080.SZ,002080.SZ
002452.SZ,000812.SZ,000812.SZ,000812.SZ,000812.SZ
002453.SZ,600680.SH,600680.SH,600680.SH,600680.SH
002454.SZ,300032.SZ,300032.SZ,600666.SH,300032.SZ
002455.SZ,002781.SZ,300040.SZ,600628.SH,300163.SZ
002456.SZ,002684.SZ,002684.SZ,002684.SZ,002143.SZ
002457.SZ,000923.SZ,300428.SZ,300428.SZ,300428.SZ
002458.SZ,000859.SZ,000862.SZ,600680.SH,600680.SH
002459.SZ,002070.SZ,002070.SZ,002070.SZ,002070.SZ
002460.SZ,600230.SH,600230.SH,600230.SH,600581.SH
002461.SZ,600512.SH,002122.SZ,002604.SZ,002122.SZ
002462.SZ,002462.SZ,002462.SZ,002462.SZ,002462.SZ
002463.SZ,002557.SZ,002557.SZ,002557.SZ,002557.SZ
002464.SZ,002464.SZ,002464.SZ,002464.SZ,002464.SZ
002465.SZ,000156.SZ,000156.SZ,002367.SZ,002367.SZ
002466.SZ,002460.SZ,600490.SH,002365.SZ,002365.SZ
002467.SZ,002070.SZ,002070.SZ,002070.SZ,002070.SZ
002468.SZ,600837.SH,600642.SH,600837.SH,600837.SH
002469.SZ,000812.SZ,000812.SZ,000812.SZ,000812.SZ
002470.SZ,300280.SZ,300280.SZ,300280.SZ,300280.SZ
002471.SZ,000564.SZ,000564.SZ,000564.SZ,000038.SZ
002472.SZ,600221.SH,002739.SZ,002739.SZ,002739.SZ
002473.SZ,000812.SZ,600680.SH,600680.SH,600680.SH
002474.SZ,000156.SZ,000156.SZ,000156.SZ,002367.SZ
002475.SZ,000100.SZ,000100.SZ,000100.SZ,000100.SZ
002476.SZ,600662.SH,600662.SH,002816.SZ,002816.SZ
002477.SZ,600614.SH,600614.SH,600614.SH,002501.SZ
002478.SZ,300562.SZ,603636.SH,603636.SH,002606.SZ
002479.SZ,600969.SH,600261.SH,600261.SH,600261.SH
002480.SZ,600751.SH,000038.SZ,000038.SZ,000038.SZ
002481.SZ,600610.SH,600610.SH,600610.SH,600610.SH
002482.SZ,600227.SH,600221.SH,002739.SZ,002739.SZ
002483.SZ,002606.SZ,002606.SZ,002606.SZ,002606.SZ
002484.SZ,300163.SZ,600680.SH,600680.SH,600680.SH
002485.SZ,002072.SZ,002072.SZ,002072.SZ,002072.SZ
002486.SZ,600193.SH,000812.SZ,000812.SZ,000812.SZ
002487.SZ,002473.SZ,002473.SZ,002606.SZ,002606.SZ
002488.SZ,600751.SH,002437.SZ,300270.SZ,300109.SZ
002489.SZ,600292.SH,300040.SZ,600157.SH,600157.SH
002490.SZ,002787.SZ,002787.SZ,002606.SZ,002606.SZ
002491.SZ,000564.SZ,000564.SZ,000564.SZ,000564.SZ
002492.SZ,002492.SZ,002492.SZ,002492.SZ,002492.SZ
002493.SZ,600666.SH,300383.SZ,002263.SZ,002263.SZ
002494.SZ,603126.SH,300320.SZ,300156.SZ,000820.SZ
002495.SZ,600467.SH,002786.SZ,002786.SZ,002786.SZ
002496.SZ,000540.SZ,000540.SZ,300225.SZ,300225.SZ
002497.SZ,002460.SZ,002466.SZ,002466.SZ,002466.SZ
002498.SZ,002070.SZ,002070.SZ,002070.SZ,002070.SZ
002499.SZ,002739.SZ,002739.SZ,002739.SZ,002739.SZ
002500.SZ,000783.SZ,000783.SZ,000783.SZ,000783.SZ
002501.SZ,002739.SZ,002739.SZ,002739.SZ,002739.SZ
002502.SZ,000662.SZ,000662.SZ,600666.SH,000971.SZ
002503.SZ,002143.SZ,002143.SZ,002076.SZ,002606.SZ
002504.SZ,002739.SZ,002739.SZ,002739.SZ,002739.SZ
002505.SZ,600401.SH,600401.SH,600401.SH,600401.SH
002506.SZ,600536.SH,600536.SH,600536.SH,600536.SH
002507.SZ,300347.SZ,300347.SZ,300347.SZ,300347.SZ
002508.SZ,600320.SH,300225.SZ,600165.SH,600870.SH
002509.SZ,002509.SZ,002509.SZ,002509.SZ,002509.SZ
002510.SZ,600255.SH,600255.SH,300115.SZ,600791.SH
002511.SZ,002729.SZ,002070.SZ,601137.SH,601137.SH
002512.SZ,002739.SZ,002739.SZ,002739.SZ,002739.SZ
002513.SZ,002103.SZ,002739.SZ,002558.SZ,002558.SZ
002514.SZ,000415.SZ,600157.SH,600157.SH,600157.SH
002515.SZ,600513.SH,600666.SH,300163.SZ,002606.SZ
002516.SZ,000541.SZ,600666.SH,600666.SH,300071.SZ
002517.SZ,600715.SH,600666.SH,600666.SH,600666.SH
002518.SZ,002139.SZ,000812.SZ,000812.SZ,300071.SZ
002519.SZ,300063.SZ,600318.SH,002606.SZ,002606.SZ
002520.SZ,300252.SZ,000812.SZ,300252.SZ,000812.SZ
002521.SZ,600666.SH,600666.SH,600666.SH,600666.SH
002522.SZ,002566.SZ,300430.SZ,600870.SH,600666.SH
002523.SZ,000812.SZ,000812.SZ,000812.SZ,000812.SZ
002524.SZ,600318.SH,600666.SH,600318.SH,300163.SZ
002526.SZ,002526.SZ,002526.SZ,002526.SZ,002526.SZ
002527.SZ,000559.SZ,300071.SZ,300071.SZ,000971.SZ
002528.SZ,002276.SZ,000812.SZ,000812.SZ,000812.SZ
002529.SZ,300090.SZ,300090.SZ,300032.SZ,300032.SZ
002530.SZ,000506.SZ,300004.SZ,600666.SH,600666.SH
002531.SZ,000035.SZ,000035.SZ,000035.SZ,002604.SZ
002532.SZ,002473.SZ,002473.SZ,002473.SZ,002473.SZ
002533.SZ,600824.SH,000812.SZ,000812.SZ,000812.SZ
002534.SZ,002122.SZ,600666.SH,002122.SZ,002122.SZ
002535.SZ,002533.SZ,601801.SH,601801.SH,600865.SH
002536.SZ,600781.SH,600781.SH,600998.SH,600891.SH
002537.SZ,600666.SH,600666.SH,600666.SH,002606.SZ
002538.SZ,002122.SZ,002122.SZ,000793.SZ,000793.SZ
002539.SZ,300218.SZ,002473.SZ,002606.SZ,002606.SZ
002540.SZ,600221.SH,600221.SH,000793.SZ,300071.SZ
002541.SZ,300281.SZ,002739.SZ,002739.SZ,600666.SH
002542.SZ,002342.SZ,603969.SH,300428.SZ,000820.SZ
002543.SZ,600165.SH,600165.SH,600165.SH,600165.SH
002544.SZ,300173.SZ,300173.SZ,002619.SZ,002619.SZ
002545.SZ,002739.SZ,002739.SZ,002739.SZ,002739.SZ
002546.SZ,600356.SH,002786.SZ,002786.SZ,002786.SZ
002547.SZ,002674.SZ,002674.SZ,000550.SZ,000550.SZ
002548.SZ,600517.SH,000720.SZ,000720.SZ,600448.SH
002549.SZ,300171.SZ,600053.SH,600053.SH,002786.SZ
002550.SZ,002263.SZ,002263.SZ,002263.SZ,000156.SZ
002551.SZ,002619.SZ,002619.SZ,002619.SZ,002619.SZ
002552.SZ,600610.SH,600610.SH,600610.SH,600469.SH
002553.SZ,002344.SZ,002344.SZ,000812.SZ,000812.SZ
002554.SZ,000428.SZ,000428.SZ,000428.SZ,000875.SZ
002555.SZ,300225.SZ,600539.SH,600539.SH,600539.SH
002556.SZ,002263.SZ,600321.SH,600321.SH,002486.SZ
002557.SZ,002463.SZ,002463.SZ,002463.SZ,002463.SZ
002558.SZ,002143.SZ,300466.SZ,002143.SZ,002143.SZ
002559.SZ,600610.SH,600610.SH,600615.SH,600615.SH
002560.SZ,600605.SH,600605.SH,600605.SH,600318.SH
002561.SZ,600838.SH,601801.SH,601801.SH,600091.SH
002562.SZ,002739.SZ,002739.SZ,002739.SZ,002739.SZ
002563.SZ,603658.SH,603658.SH,603658.SH,000735.SZ
002564.SZ,000564.SZ,000564.SZ,000564.SZ,000564.SZ
002565.SZ,002323.SZ,002323.SZ,002323.SZ,002323.SZ
002566.SZ,300173.SZ,600610.SH,300173.SZ,000564.SZ
002567.SZ,600775.SH,600775.SH,002323.SZ,002323.SZ
002568.SZ,600557.SH,600557.SH,600288.SH,600288.SH
002569.SZ,002219.SZ,002219.SZ,002219.SZ,002694.SZ
002570.SZ,000900.SZ,000900.SZ,000900.SZ,000900.SZ
002571.SZ,002571.SZ,002571.SZ,002571.SZ,002571.SZ
002572.SZ,002143.SZ,002143.SZ,002076.SZ,002076.SZ
002573.SZ,600515.SH,600515.SH,600666.SH,600666.SH
002574.SZ,600628.SH,600610.SH,600628.SH,600610.SH
002575.SZ,002323.SZ,002323.SZ,600680.SH,600680.SH
002576.SZ,000812.SZ,000812.SZ,002606.SZ,000400.SZ
002577.SZ,002143.SZ,300173.SZ,601801.SH,002076.SZ
002578.SZ,002578.SZ,002578.SZ,002578.SZ,002578.SZ
002579.SZ,002579.SZ,002579.SZ,002579.SZ,002579.SZ
002580.SZ,002606.SZ,002606.SZ,002606.SZ,002606.SZ
002581.SZ,600221.SH,002219.SZ,002219.SZ,600666.SH
002582.SZ,600318.SH,600666.SH,600666.SH,600666.SH
002583.SZ,000540.SZ,300225.SZ,300225.SZ,300225.SZ
002584.SZ,002584.SZ,002584.SZ,002584.SZ,002584.SZ
002585.SZ,002070.SZ,600666.SH,002619.SZ,002619.SZ
002586.SZ,000008.SZ,002431.SZ,002739.SZ,002101.SZ
002587.SZ,300455.SZ,600666.SH,600538.SH,600538.SH
002588.SZ,300291.SZ,000812.SZ,000812.SZ,000812.SZ
002589.SZ,600666.SH,600666.SH,600318.SH,600318.SH
002590.SZ,000838.SZ,300071.SZ,300071.SZ,300071.SZ
002591.SZ,600610.SH,600610.SH,300163.SZ,300163.SZ
002592.SZ,002070.SZ,002070.SZ,002070.SZ,002070.SZ
002593.SZ,600336.SH,600662.SH,600662.SH,300022.SZ
002594.SZ,300274.SZ,300274.SZ,600231.SH,600231.SH
002595.SZ,600831.SH,300305.SZ,300305.SZ,300305.SZ
002596.SZ,002076.SZ,002076.SZ,002076.SZ,002076.SZ
002597.SZ,002081.SZ,002081.SZ,002081.SZ,002081.SZ
002598.SZ,300071.SZ,300071.SZ,300071.SZ,600157.SH
002599.SZ,300063.SZ,300063.SZ,300063.SZ,300063.SZ
002600.SZ,300118.SZ,300118.SZ,300118.SZ,300118.SZ
002601.SZ,600755.SH,000036.SZ,000036.SZ,000036.SZ
002602.SZ,002602.SZ,002602.SZ,002602.SZ,002602.SZ
000921.SZ,000100.SZ,000100.SZ,601377.SH,601377.SH
000922.SZ,600680.SH,600680.SH,000862.SZ,000862.SZ
000923.SZ,000615.SZ,600633.SH,600633.SH,600633.SH
000925.SZ,300281.SZ,300281.SZ,600666.SH,600666.SH
000926.SZ,000793.SZ,300038.SZ,300038.SZ,300038.SZ
000927.SZ,002070.SZ,002070.SZ,002323.SZ,002546.SZ
000928.SZ,002606.SZ,002606.SZ,002606.SZ,002606.SZ
000929.SZ,000812.SZ,000812.SZ,000812.SZ,000812.SZ
000930.SZ,002070.SZ,002252.SZ,000038.SZ,000038.SZ
000931.SZ,002323.SZ,600680.SH,600680.SH,600680.SH
000932.SZ,600782.SH,600782.SH,600516.SH,600516.SH
000933.SZ,600291.SH,600291.SH,600291.SH,002622.SZ
000935.SZ,000616.SZ,002037.SZ,300278.SZ,300278.SZ
000936.SZ,002189.SZ,002189.SZ,002017.SZ,002017.SZ
000937.SZ,300278.SZ,300278.SZ,300278.SZ,300278.SZ
000938.SZ,600515.SH,600515.SH,600515.SH,600515.SH
000939.SZ,002143.SZ,000038.SZ,000038.SZ,000038.SZ
000948.SZ,600680.SH,600680.SH,600680.SH,600680.SH
000949.SZ,300163.SZ,300163.SZ,300163.SZ,300163.SZ
000950.SZ,603997.SH,603997.SH,002070.SZ,002070.SZ
000951.SZ,600020.SH,600020.SH,600020.SH,600020.SH
000952.SZ,000038.SZ,000038.SZ,002143.SZ,002143.SZ
000953.SZ,000953.SZ,000953.SZ,000953.SZ,000953.SZ
000955.SZ,002252.SZ,002252.SZ,002252.SZ,002252.SZ
000957.SZ,000099.SZ,000099.SZ,000592.SZ,000592.SZ
000958.SZ,000928.SZ,000928.SZ,300443.SZ,002473.SZ
000959.SZ,300278.SZ,300278.SZ,002739.SZ,002739.SZ
000960.SZ,300198.SZ,600497.SH,002072.SZ,002072.SZ
000961.SZ,002189.SZ,002189.SZ,000862.SZ,000862.SZ
000962.SZ,002673.SZ,002673.SZ,002816.SZ,002816.SZ
000963.SZ,002143.SZ,002143.SZ,002143.SZ,002143.SZ
000965.SZ,603126.SH,000820.SZ,000820.SZ,000820.SZ
000966.SZ,600775.SH,600677.SH,600677.SH,600677.SH
000967.SZ,600666.SH,600666.SH,600666.SH,600666.SH
000968.SZ,002427.SZ,002427.SZ,600515.SH,600515.SH
000969.SZ,000783.SZ,000783.SZ,000783.SZ,000783.SZ
000970.SZ,300115.SZ,300115.SZ,600791.SH,002545.SZ
000971.SZ,002018.SZ,002018.SZ,002018.SZ,300090.SZ
000972.SZ,000757.SZ,000757.SZ,002076.SZ,002076.SZ
000973.SZ,002326.SZ,000415.SZ,600820.SH,000400.SZ
000975.SZ,000939.SZ,002604.SZ,002604.SZ,002604.SZ
000976.SZ,002398.SZ,002398.SZ,002122.SZ,002122.SZ
000977.SZ,300347.SZ,600845.SH,600845.SH,600845.SH
000978.SZ,002344.SZ,000812.SZ,000812.SZ,000812.SZ
000980.SZ,002527.SZ,002527.SZ,002527.SZ,600959.SH
000981.SZ,600086.SH,600086.SH,600086.SH,300324.SZ
000982.SZ,000982.SZ,000982.SZ,000982.SZ,000982.SZ
000983.SZ,002092.SZ,002622.SZ,002622.SZ,002622.SZ
000985.SZ,600249.SH,600249.SH,000812.SZ,000812.SZ
000987.SZ,000987.SZ,000987.SZ,000987.SZ,000987.SZ
000988.SZ,002402.SZ,300328.SZ,300328.SZ,300328.SZ
000989.SZ,002252.SZ,002739.SZ,002739.SZ,002739.SZ
000990.SZ,002565.SZ,603000.SH,603000.SH,000859.SZ
000993.SZ,000715.SZ,600680.SH,600680.SH,600680.SH
000995.SZ,300278.SZ,300278.SZ,300278.SZ,300278.SZ
000996.SZ,601999.SH,002473.SZ,002473.SZ,002473.SZ
000997.SZ,600033.SH,600210.SH,600210.SH,600210.SH
000998.SZ,000488.SZ,002310.SZ,002365.SZ,002365.SZ
000999.SZ,002475.SZ,300207.SZ,300207.SZ,300207.SZ
001696.SZ,600192.SH,600192.SH,600680.SH,600680.SH
001872.SZ,001872.SZ,001872.SZ,001872.SZ,001872.SZ
001896.SZ,000428.SZ,000428.SZ,002606.SZ,002606.SZ
001965.SZ,001965.SZ,001965.SZ,001965.SZ,001965.SZ
001979.SZ,601111.SH,601111.SH,601111.SH,000063.SZ
600000.SH,300163.SZ,600318.SH,600318.SH,600318.SH
600004.SH,002475.SZ,002475.SZ,002547.SZ,002547.SZ
600006.SH,600166.SH,600864.SH,600864.SH,000783.SZ
600007.SH,600074.SH,600074.SH,600074.SH,600074.SH
600008.SH,002542.SZ,002542.SZ,600717.SH,600633.SH
600009.SH,603288.SH,603288.SH,603288.SH,603288.SH
600010.SH,000506.SZ,600666.SH,600666.SH,000812.SZ
600011.SH,002070.SZ,002070.SZ,002070.SZ,002070.SZ
600012.SH,002122.SZ,002122.SZ,603988.SH,603988.SH
600015.SH,600666.SH,600666.SH,600666.SH,002694.SZ
600016.SH,002716.SZ,002122.SZ,002122.SZ,002122.SZ
600017.SH,000540.SZ,000540.SZ,000028.SZ,600633.SH
600018.SH,000063.SZ,000100.SZ,601231.SH,601231.SH
600019.SH,002110.SZ,600559.SH,002426.SZ,002426.SZ
600020.SH,300013.SZ,300013.SZ,300013.SZ,300013.SZ
600021.SH,002570.SZ,002570.SZ,002739.SZ,002739.SZ
600022.SH,300089.SZ,300089.SZ,002684.SZ,002684.SZ
600023.SH,002005.SZ,002005.SZ,002005.SZ,002005.SZ
600025.SH,600025.SH,600025.SH,600025.SH,600025.SH
600026.SH,600150.SH,600150.SH,601099.SH,601099.SH
600027.SH,002070.SZ,002070.SZ,002070.SZ,002070.SZ
600028.SH,300373.SZ,300373.SZ,300373.SZ,300373.SZ
600029.SH,601113.SH,002081.SZ,002001.SZ,300274.SZ
600030.SH,600776.SH,600776.SH,600776.SH,600776.SH
600031.SH,000661.SZ,000661.SZ,000661.SZ,002299.SZ
600033.SH,601880.SH,601880.SH,600633.SH,600633.SH
600035.SH,002122.SZ,002122.SZ,600157.SH,002188.SZ
600036.SH,601318.SH,601318.SH,601318.SH,601318.SH
600037.SH,600157.SH,600157.SH,600157.SH,600157.SH
600038.SH,000547.SZ,000547.SZ,000547.SZ,002575.SZ
600039.SH,002070.SZ,002070.SZ,000812.SZ,000812.SZ
600048.SH,601100.SH,601100.SH,601933.SH,601933.SH
600050.SH,002608.SZ,002608.SZ,002083.SZ,601179.SH
600051.SH,000838.SZ,000812.SZ,600321.SH,002667.SZ
600052.SH,002070.SZ,002070.SZ,002070.SZ,002076.SZ
600053.SH,002331.SZ,600766.SH,600312.SH,600312.SH
600054.SH,000820.SZ,000820.SZ,002739.SZ,002739.SZ
600055.SH,300045.SZ,002518.SZ,002518.SZ,002518.SZ
600056.SH,300055.SZ,300335.SZ,300197.SZ,300197.SZ
600057.SH,300032.SZ,300032.SZ,300032.SZ,600666.SH
600058.SH,002263.SZ,002263.SZ,600628.SH,000838.SZ
600059.SH,300238.SZ,300238.SZ,600610.SH,600610.SH
600060.SH,002005.SZ,000564.SZ,300027.SZ,002721.SZ
600061.SH,600837.SH,600837.SH,600837.SH,600837.SH
600062.SH,002252.SZ,002252.SZ,002252.SZ,002252.SZ
600063.SH,600169.SH,600193.SH,600193.SH,600193.SH
600064.SH,000156.SZ,000156.SZ,600284.SH,002014.SZ
600066.SH,600525.SH,600515.SH,600515.SH,000756.SZ
600067.SH,002145.SZ,002145.SZ,002145.SZ,600035.SH
600068.SH,000820.SZ,300156.SZ,002739.SZ,002739.SZ
600069.SH,300071.SZ,300478.SZ,000971.SZ,000971.SZ
600070.SH,000156.SZ,000156.SZ,002367.SZ,002367.SZ
600071.SH,002263.SZ,300392.SZ,300032.SZ,300392.SZ
600072.SH,600316.SH,600505.SH,600610.SH,002736.SZ
600073.SH,000966.SZ,000966.SZ,000966.SZ,600831.SH
600074.SH,002188.SZ,002739.SZ,002739.SZ,002739.SZ
600075.SH,002143.SZ,600666.SH,002143.SZ,002143.SZ
600076.SH,600255.SH,300032.SZ,300032.SZ,300278.SZ
600077.SH,000564.SZ,000564.SZ,000564.SZ,002076.SZ
600078.SH,600610.SH,600610.SH,600610.SH,600610.SH
600079.SH,002581.SZ,600221.SH,600221.SH,600959.SH
600080.SH,000540.SZ,000540.SZ,000540.SZ,002739.SZ
600081.SH,002070.SZ,600680.SH,600680.SH,600680.SH
600082.SH,000606.SZ,002070.SZ,002070.SZ,600680.SH
600083.SH,002168.SZ,002168.SZ,300423.SZ,300423.SZ
600084.SH,600318.SH,601801.SH,601801.SH,002076.SZ
600085.SH,002677.SZ,000673.SZ,000673.SZ,000673.SZ
600086.SH,000981.SZ,000981.SZ,300237.SZ,300237.SZ
600088.SH,002070.SZ,601608.SH,000785.SZ,000785.SZ
600089.SH,601880.SH,600539.SH,600539.SH,600539.SH
600090.SH,600090.SH,600090.SH,600090.SH,600090.SH
600091.SH,600838.SH,000812.SZ,000812.SZ,002606.SZ
600093.SH,600985.SH,600985.SH,002531.SZ,002531.SZ
600094.SH,002070.SZ,002070.SZ,600837.SH,600837.SH
600095.SH,600680.SH,600610.SH,600610.SH,600610.SH
600096.SH,000592.SZ,000592.SZ,300096.SZ,002673.SZ
600097.SH,300057.SZ,300071.SZ,600532.SH,300071.SZ
600098.SH,600680.SH,600680.SH,600680.SH,300440.SZ
600099.SH,600272.SH,002539.SZ,002539.SZ,002344.SZ
600100.SH,002070.SZ,002070.SZ,002070.SZ,002070.SZ
600101.SH,000009.SZ,600610.SH,600610.SH,600610.SH
600103.SH,002175.SZ,002175.SZ,002175.SZ,002175.SZ
600104.SH,603799.SH,603799.SH,300176.SZ,300176.SZ
600105.SH,600220.SH,002070.SZ,002070.SZ,000719.SZ
600106.SH,000428.SZ,000428.SZ,000428.SZ,600680.SH
600107.SH,002312.SZ,002312.SZ,300266.SZ,300266.SZ
600108.SH,000156.SZ,000156.SZ,000156.SZ,600610.SH
600109.SH,000686.SZ,601928.SH,601928.SH,601928.SH
600110.SH,300156.SZ,300156.SZ,300156.SZ,600666.SH
600111.SH,600392.SH,000933.SZ,601919.SH,300201.SZ
600112.SH,002070.SZ,002070.SZ,002175.SZ,002175.SZ
600113.SH,000428.SZ,000428.SZ,002076.SZ,300364.SZ
600114.SH,600221.SH,002739.SZ,002739.SZ,002739.SZ
600115.SH,600466.SH,600466.SH,002042.SZ,600835.SH
600116.SH,002608.SZ,002608.SZ,002608.SZ,600312.SH
600117.SH,002650.SZ,002650.SZ,002252.SZ,002252.SZ
600118.SH,000156.SZ,000156.SZ,600356.SH,300080.SZ
600119.SH,002684.SZ,002684.SZ,600084.SH,600084.SH
600120.SH,002122.SZ,002122.SZ,600157.SH,600157.SH
600121.SH,000540.SZ,300064.SZ,002072.SZ,002072.SZ
600122.SH,002739.SZ,002739.SZ,002739.SZ,002739.SZ
600123.SH,600971.SH,600291.SH,600291.SH,600291.SH
600125.SH,002386.SZ,600409.SH,600409.SH,600291.SH
600126.SH,600327.SH,600327.SH,600069.SH,300071.SZ
600127.SH,600610.SH,600610.SH,600610.SH,600610.SH
600128.SH,002070.SZ,600680.SH,600680.SH,600680.SH
600129.SH,600751.SH,002716.SZ,002252.SZ,002252.SZ
600130.SH,000812.SZ,000812.SZ,000812.SZ,000812.SZ
600131.SH,002299.SZ,600776.SH,600680.SH,600680.SH
600132.SH,600763.SH,600763.SH,002032.SZ,002032.SZ
600133.SH,600291.SH,000090.SZ,002555.SZ,002555.SZ
600135.SH,603126.SH,000816.SZ,000816.SZ,000816.SZ
600136.SH,002095.SZ,002095.SZ,002095.SZ,600707.SH
600137.SH,600666.SH,600666.SH,002694.SZ,002694.SZ
600138.SH,600221.SH,002356.SZ,002356.SZ,002219.SZ
600139.SH,600666.SH,600666.SH,600666.SH,600666.SH
600141.SH,600490.SH,600230.SH,600490.SH,600490.SH
600143.SH,300074.SZ,002518.SZ,002531.SZ,002451.SZ
600145.SH,600145.SH,600145.SH,600145.SH,600145.SH
600146.SH,002734.SZ,002734.SZ,002734.SZ,002271.SZ
600148.SH,300148.SZ,300148.SZ,300148.SZ,300148.SZ
600149.SH,600106.SH,002105.SZ,002606.SZ,002606.SZ
600150.SH,600026.SH,600026.SH,002736.SZ,601099.SH
600151.SH,600151.SH,600151.SH,600151.SH,600151.SH
600152.SH,600152.SH,600152.SH,600152.SH,600152.SH
600153.SH,000090.SZ,000090.SZ,601985.SH,601985.SH
600155.SH,600198.SH,002595.SZ,002567.SZ,002567.SZ
600156.SH,600370.SH,600680.SH,600680.SH,600680.SH
600157.SH,000415.SZ,002070.SZ,000400.SZ,000400.SZ
600158.SH,002453.SZ,002453.SZ,002453.SZ,002606.SZ
600159.SH,002187.SZ,000564.SZ,000812.SZ,000812.SZ
600160.SH,000415.SZ,000415.SZ,000415.SZ,000415.SZ
600161.SH,600161.SH,600161.SH,600161.SH,600161.SH
600162.SH,300120.SZ,002004.SZ,002790.SZ,000812.SZ
600163.SH,600356.SH,600356.SH,600356.SH,600680.SH
600165.SH,002219.SZ,002219.SZ,002569.SZ,002739.SZ
600166.SH,600006.SH,000156.SZ,000156.SZ,000156.SZ
002602.SZ,002602.SZ,002602.SZ,002602.SZ,002602.SZ
002603.SZ,600221.SH,600221.SH,600221.SH,600221.SH
002604.SZ,600666.SH,002619.SZ,002619.SZ,002619.SZ
002605.SZ,002070.SZ,600610.SH,002552.SZ,002552.SZ
002606.SZ,002703.SZ,600680.SH,600680.SH,600680.SH
002607.SZ,600680.SH,600680.SH,600680.SH,600680.SH
002608.SZ,000973.SZ,601375.SH,000400.SZ,000400.SZ
002609.SZ,000793.SZ,000793.SZ,600366.SH,600366.SH
002610.SZ,002520.SZ,002037.SZ,002037.SZ,600097.SH
002611.SZ,002445.SZ,600069.SH,600069.SH,300032.SZ
002612.SZ,600084.SH,600084.SH,002143.SZ,000038.SZ
002613.SZ,600666.SH,002787.SZ,002787.SZ,002787.SZ
002614.SZ,002044.SZ,002044.SZ,002044.SZ,002044.SZ
002615.SZ,600666.SH,600666.SH,600666.SH,600666.SH
002616.SZ,002606.SZ,002606.SZ,002606.SZ,002606.SZ
002617.SZ,002617.SZ,002617.SZ,002617.SZ,002617.SZ
002618.SZ,002070.SZ,002070.SZ,002070.SZ,002070.SZ
002619.SZ,002694.SZ,600293.SH,600293.SH,600318.SH
002620.SZ,300063.SZ,300063.SZ,002606.SZ,002606.SZ
002621.SZ,600680.SH,600680.SH,600680.SH,600680.SH
002622.SZ,002739.SZ,002739.SZ,600634.SH,600634.SH
002623.SZ,601801.SH,601801.SH,002606.SZ,002606.SZ
002624.SZ,603660.SH,603660.SH,600885.SH,600885.SH
002625.SZ,002739.SZ,002739.SZ,002739.SZ,600666.SH
002626.SZ,600559.SH,600702.SH,600702.SH,600702.SH
002627.SZ,300485.SZ,002529.SZ,002435.SZ,002094.SZ
002628.SZ,002263.SZ,002263.SZ,002263.SZ,002219.SZ
002629.SZ,002629.SZ,002629.SZ,002629.SZ,002629.SZ
002630.SZ,002219.SZ,002219.SZ,002219.SZ,002219.SZ
002631.SZ,000812.SZ,000812.SZ,000812.SZ,000812.SZ
002632.SZ,002070.SZ,002098.SZ,600148.SH,600148.SH
002633.SZ,300440.SZ,300440.SZ,300440.SZ,300440.SZ
002634.SZ,002552.SZ,002552.SZ,002552.SZ,002552.SZ
